,text,category,tag,topic_id
25677,variety in your grocery list is key,health,Healthy Life & Wellbeing,-1
25678,"out of nowhere, one woman's previously mild eczema symptoms spread to her face",health,Medicine & Pandemics,280
25679,eczema on the face can be especially painful,health,Medicine & Pandemics,280
25680,here's what your blood pressure numbers really mean,health,Medicine & Pandemics,99
25681,the dietician approved changes are easy enough to stick with for the long term,health,Healthy Life & Wellbeing,60
25682,"adding variety to your workout routine will not only prevent it from becoming dull, but will also keep your body challenged for maximum results",health,Healthy Life & Wellbeing,0
25683,eczema on your hands can be uncomfortable and frustrating,health,Medicine & Pandemics,280
25684,"infectious disease experts weigh in on how much if any protection face masks can provide against monkeypox, and which modes of transmission are most common",health,Medicine & Pandemics,89
25685,"bug bites, dry skin, and sunburn are no match for these soothing formulas",health,Medicine & Pandemics,227
25686,itchy bumps or oozing blisters? here's what might be going on,health,Medicine & Pandemics,280
25687,what is the best mosquito repellent? how to buy the right one for you,health,Medicine & Pandemics,227
25688,better looking skin in a bottle,health,Healthy Life & Wellbeing,110
25689,"add this step to your routine, stat",health,Healthy Life & Wellbeing,0
25690,take advantage of this early amazon prime day deal before it ends,health,Healthy Life & Wellbeing,169
25691,the 8 best sunscreen sticks dermatologists recommend for easy spf application,health,Healthy Life & Wellbeing,124
25692,"over 2,300 of them have given this massager 5 stars on amazon, and reviewers say it is easy to use and super effective",health,Healthy Life & Wellbeing,503
25693,it can help with your most pressing skin concerns all at once,health,Healthy Life & Wellbeing,-1
25694,fitness experts explain how to *safely* try this fitness trend,health,Healthy Life & Wellbeing,0
25695,good news for at home exercisers!,health,Healthy Life & Wellbeing,0
25696,omicron infection timeline: when symptoms start and how long they last,health,Medicine & Pandemics,257
25697,"the 11 best hemorrhoid creams and treatments for every type of pain, according to experts",health,Medicine & Pandemics,80
25698,"it is always best to see a doctor for any unexplained rash, especially if you have other symptoms",health,Medicine & Pandemics,280
25699,"fyi: it does not usually cause a rash, but you should still steer clear of this weed",health,Medicine & Pandemics,280
25700,everything you need to know about freshly's  conscious meal delivery service before signing up for a subscription,health,Healthy Life & Wellbeing,60
25701,"the 8 best foundations to try if you have sensitive skin, according to dermatologists",health,Healthy Life & Wellbeing,110
25702,cancerous moles are the most dangerous form of skin cancer here's what to know,health,Healthy Life & Wellbeing,124
25703,the amazon prime day 2022 announcement is full of exciting deals on everything from slow cookers and blenders to white noise machines and weighted blankets,health,Healthy Life & Wellbeing,418
25704,an fda panel has recommended emergency use of two vaccines for infants and young children up to age 5,health,Medicine & Pandemics,2
25705,here are the facts you need to keep your smile bright and healthy,health,Healthy Life & Wellbeing,67
25706,cardiovascular endurance is a huge part of any fitness routine here's how to improve yours,health,Healthy Life & Wellbeing,0
25707,this 6 step yoga flow will open up your tight hips:,health,Healthy Life & Wellbeing,113
25708,the 28 year old pop star has full paralysis on one side of his face,health,Medicine & Pandemics,-1
25709,3 easy stretches that will relax you before bed:,health,Healthy Life & Wellbeing,456
25710,bleeding under the skin that produces a blotchy or pinprick like rash may signal a serious bacterial infection,health,Medicine & Pandemics,280
25711,5 dumbbell workouts from that tone more than just your biceps:,health,Healthy Life & Wellbeing,0
25712,shows us how to master a chinup in 3 easy steps:,health,Healthy Life & Wellbeing,0
25713,i have no heart conditions and i still got messed up,health,Medicine & Pandemics,99
25714,cauliflower benefits: 7 ways this vegetable helps your,health,Healthy Life & Wellbeing,194
25715,"the best sips for a good night's rest, according to experts",health,Mental Health & Addictions,188
25716,"the oral b genius 7500 electric toothbrush is popular among dentists and customers, and it is on sale at amazon right now",health,Healthy Life & Wellbeing,169
25717,"if you are seeking relief from toothaches, here are reasons your teeth hurt and how to stop the pain",health,Medicine & Pandemics,80
25718,"abs can be made in the kitchen and your living room, with these exercises",health,Healthy Life & Wellbeing,0
25719,5 swiss ball workouts from that will tone your core and build arm strength:,health,Healthy Life & Wellbeing,0
25720,"kidney disease patients face increased risk of developing cancer, study shows",health,Medicine & Pandemics,380
25721,fyi: keto 2 0 might be healthier and more sustainable than regular keto,health,Healthy Life & Wellbeing,458
25722,"done correctly, this move will work your glutes, legs, and abs all at once:",health,Healthy Life & Wellbeing,0
25723,"more than 18,000 shoppers give the uflex athletics knee compression sleeve a five star rating for its ability to relieve knee pain and get them back to walking, running, and living life to the fullest",health,Medicine & Pandemics,80
25724,"some patients who have taken pfizer's paxlovid medication have experienced a recurrence in their symptoms in the days after completing the treatment, known as 'covid 19 rebound' or 'paxlovid rebound '",health,Medicine & Pandemics,52
25725,a doctor told this 24 year old the red bumps covering her body were bug bites but she actually had psoriasis:,health,Medicine & Pandemics,280
25726,eczema can look different depending on the type of rash and where it appears on the body,health,Medicine & Pandemics,-1
25727,"psoriatic arthritis patients tell us what it is like to live with the autoimmune disease, which can cause joint pain, swelling, a skin rash, fatigue, eye irritation, and more",health,Medicine & Pandemics,-1
25728,"the 11 best anti aging night creams, according to dermatologists",health,Healthy Life & Wellbeing,110
25729,"if you think healthy eating is hard, you have not tried factor meals yet",health,Healthy Life & Wellbeing,60
25730,"5 foods to eat if you have got psoriasis, and 5 to limit, according to experts",health,Medicine & Pandemics,519
25731,tiktok users say the acne drug can shrink your nose but dermatologists have a different explanation,health,Healthy Life & Wellbeing,-1
25732,"after 11 years and countless dismissive doctors, i was finally diagnosed with early onset parkinson's disease:",health,Medicine & Pandemics,354
25733,"yep, the injections can do more than just reduce wrinkles",health,Healthy Life & Wellbeing,110
25734,3 yoga pose modifications for pregnant women:,health,Healthy Life & Wellbeing,113
25735,"goodbye white cast, guards up zinc oxide sunscreen is lightweight and effective",health,Healthy Life & Wellbeing,124
25736,shows us how to master a chin up in 3 easy steps:,health,Healthy Life & Wellbeing,0
25737,one woman opens up about her lifelong struggle with eczema and the support system that helped her take control of skin once and for all,health,Medicine & Pandemics,280
25738,"more than two full years into the covid 19 pandemic, science cannot seem to agree on whether pulse oximeters are truly helpful for people at home recovering from the illness",health,Medicine & Pandemics,52
25739,"for people with chronic conditions like psoriatic arthritis, food can play a huge role in symptom management",health,Medicine & Pandemics,-1
25740,sunscreen and sunblock are not the same thing these are the differences,health,Healthy Life & Wellbeing,124
25741,"covid vaccines that use mrna technology may provide better protection against who identified variants than viral vector vaccines, according to new research in plos medicine",health,Medicine & Pandemics,2
25742,8 pilates moves to strengthen your pelvic floor,health,Healthy Life & Wellbeing,0
25743,"the first ever home test for people with symptoms of covid 19, the flu, and respiratory syncytial virus (rsv) will be available without a prescription",health,Medicine & Pandemics,-1
25744,try this 8 move kettlebell core workout for a stronger midsection,health,Healthy Life & Wellbeing,0
25745,this type of training can make you stronger and more flexible no equipment required,health,Healthy Life & Wellbeing,0
25746,psoriatic arthritis is a type of arthritis that typically develops in people who have skin psoriasis,health,Medicine & Pandemics,519
25747,"kick dry, chapped lips to the curb with these  editor tested products",health,Healthy Life & Wellbeing,110
25748,would you know if someone was overdosing on opioid drugs?,health,Mental Health & Addictions,178
25749,3 glute bridge mistakes you might be making and how to fix them,health,Healthy Life & Wellbeing,153
25750,"paxlovid, the antiviral covid 19 medication is leading to reports of paxlovid mouth, or a bitter, metallic taste after taking the medication",health,Medicine & Pandemics,52
25751,how to know if your acne is actually caused by a fungal infection,health,Healthy Life & Wellbeing,369
25752,a student died in his sleep after eating leftover pasta here's how:,health,Healthy Life & Wellbeing,-1
25753,here's how to tell if it is time to talk to a doctor about treatment for eczema when over the counter creams do not work,health,Medicine & Pandemics,280
25754,about 30 percent of people with psoriasis end up with psoriatic arthritis here's what to know about the signs and symptoms of the chronic autoimmune disease,health,Medicine & Pandemics,519
25755,is demonstrating 3 glute bridge mistakes you might be making and how to fix them:,health,Healthy Life & Wellbeing,153
25756,the shot is now only available to people who are unable or unwilling to receive the other mrna vaccine options,health,Medicine & Pandemics,2
25757,"this donut pillow is a 'lifesaver' for people with back pain, hemorrhoids, and bed sores",health,Medicine & Pandemics,80
25758,"this is the right way to wash your fruits and veggies, according to science",health,Healthy Life & Wellbeing,194
25759,"covid 19 cases have declined in the united states, but not all cases are being accounted for amid widespread at home testing",health,Medicine & Pandemics,-1
25760,forward space's 3 dance moves for toned arms:,health,Healthy Life & Wellbeing,0
25761,"42 new genes have been linked to an increased risk of alzheimer's disease, according to 'landmark' study",health,Mental Health & Addictions,70
25762,will ba 2 cause another covid wave in the u s ?,health,Medicine & Pandemics,-1
25763,"even people who no longer menstruate saw covid vaccine related period symptoms, research shows",health,Medicine & Pandemics,2
25764,3 leg stretches you might be doing wrong and how to fix them:,health,Healthy Life & Wellbeing,456
25765,"the 8 best blenders for smoothies, according to  testers",health,Healthy Life & Wellbeing,361
25766,you will *definitely* feel this 5 move resistance band workout in your glutes:,health,Healthy Life & Wellbeing,0
25767,moderna is developing 2 new vaccines and 1 could protect against the common cold,health,Medicine & Pandemics,2
25768,"this type of eczema (also called pompholyx eczema) causes itchy, fluid filled blisters on the hands and feet",health,Medicine & Pandemics,280
25769,fda approves weekly patch to treat alzheimer's related dementia,health,Mental Health & Addictions,70
25770,"plus, three healthier foods you should eat instead!",health,Healthy Life & Wellbeing,60
25771,"even if you are the only one masking up on your airplane or morning commute, you can still protect yourself from covid 19 exposure with these n95, kn95, kf94, and double surgical masks",health,Medicine & Pandemics,89
25772,hikers beware: a sting from this plant can feel like a 'bee sting',health,Medicine & Pandemics,227
25773,"one man began to notice symptoms of psoriatic arthritis and psoriasis when he was in his early 40s, but he ignored the pain",health,Medicine & Pandemics,519
25774,new covid 19 xe variant identified: what to know,health,Medicine & Pandemics,422
25775,8 low impact cardio moves to add to your workout routine,health,Healthy Life & Wellbeing,0
25776,should you retest after testing positive for covid 19?,health,Medicine & Pandemics,-1
25777,"even if you are the only person masking up on public transportation,  experts say you still have some protection against covid 19",health,Medicine & Pandemics,89
25778,this full body resistance band workout from only takes 15 minutes:,health,Healthy Life & Wellbeing,0
25779,"the compact, top rated device is currently on sale for $49 at amazon",health,Healthy Life & Wellbeing,169
25780,consider this 20 minute hiit workout your cardio for the day,health,Healthy Life & Wellbeing,0
25781,what to eat when you have covid 19,health,Medicine & Pandemics,114
25782,"the subvariant is currently responsible for most covid 19 cases in the u s , according to the cdc",health,Medicine & Pandemics,-1
25783,read one woman's story about severe eczema and how it affected her work as an icu nurse,health,Medicine & Pandemics,280
25784,are you wondering whether you are at risk for these uncomfortable aches and pains?,health,Medicine & Pandemics,80
25785,this is what your isolation should look like,health,Mental Health & Addictions,104
25786,"if you are a highly sensitive person, you experience the world differently here's what it means",health,Healthy Life & Wellbeing,94
25787,protect your pucker from damaging uv rays this summer,health,Healthy Life & Wellbeing,124
25788,there are several things you can do that might help relieve the pain,health,Medicine & Pandemics,80
25789,"the test, called the inspectir covid 19 breathalyzer, can give results in just three minutes",health,Medicine & Pandemics,-1
25790,"the two vaccines aim to reduce the impact of respiratory illnesses on public health, especially among older adults",health,Medicine & Pandemics,2
25791,9 boxing combinations to build up total body strength,health,Healthy Life & Wellbeing,0
25792,the treatment is not the first skin patch to help manage the disease but it is the first once weekly version,health,Healthy Life & Wellbeing,110
25793,i have relied on this dermatologist approved argan oil for glowy skin and fewer wrinkles for years,health,Healthy Life & Wellbeing,110
25794,everything you should know before your next happy hour,health,Healthy Life & Wellbeing,67
25795,fda authorizes second covid 19 booster dose for people 50 and older,health,Medicine & Pandemics,2
25796,want more peanut butter dessert recipes? try these next:,health,Healthy Life & Wellbeing,196
25797,the tsa mask mandate is set to expire soon is the u s ready?,health,Medicine & Pandemics,89
25798,"'doctors continually dismissed my chest pain, and weeks later i had a massive heart attack'",health,Medicine & Pandemics,99
25799,new data provide evidence of the benefits of mixing covid 19 vaccines:,health,Medicine & Pandemics,2
25800,what causes parkinson's disease? 4 risk factors you need to know,health,Medicine & Pandemics,354
25801,can you get long covid if you have been vaccinated?,health,Medicine & Pandemics,2
25802,trainers are a fan here's why,health,Healthy Life & Wellbeing,0
25803,these 5 heart pumping indian dance moves by make a great cardio workout:,health,Healthy Life & Wellbeing,0
25804,new research shows rapid flu tests conducted at home are just as accurate as those performed in clinical settings:,health,Medicine & Pandemics,122
25805,this is not a type of pain you can easily ignore,health,Medicine & Pandemics,80
25806,new data provide evidence of the benefits of mixing covid 19 vaccines,health,Medicine & Pandemics,2
25807,here's what you need to know before you try 75hard,health,Healthy Life & Wellbeing,0
25808,the program's end stands to impact millions of individuals and the country's fight against covid 19,health,Medicine & Pandemics,114
25809,"it is still possible for fully vaccinated individuals to develop long covid, though the risk is notably reduced",health,Medicine & Pandemics,2
25810,"she used the pain and trauma of this skin condition as inspiration for a bold, sought after look",health,Mental Health & Addictions,144
25811,the authorization extends to certain individuals who are at least 12 years old and are immunocompromised,health,Medicine & Pandemics,2
25812,"whether you are looking to maintain a consistent workout routine, improve your endurance, or build muscle, there is a goal for everyone on this list no matter their fitness level",health,Healthy Life & Wellbeing,0
25813,wondering what the latest skincare craze is all about?,health,Healthy Life & Wellbeing,110
25814,"still, experts say more research is needed to determine the exact cause of post covid symptoms and identify appropriate treatments",health,Medicine & Pandemics,52
25815,"while psoriatic arthritis cannot be treated through diet alone, certain foods can help with symptom management",health,Medicine & Pandemics,-1
25816,"consider this your game plan for getting vaccinated, even if it makes you anxious",health,Medicine & Pandemics,2
25817,"experts say certain individuals, such as the immunocompromised, should still consider masking up in flight",health,Medicine & Pandemics,89
25818,new research shows rapid flu tests done at home are just as accurate as those performed in clinical settings,health,Medicine & Pandemics,122
25819,squats are one of the best exercises you can do period,health,Healthy Life & Wellbeing,0
25820,'deltacron' covid 19 variant confirmed by who here's what we know so far,health,Medicine & Pandemics,422
25821,"eczema is condition that causes a scaly, itchy rash",health,Medicine & Pandemics,280
25822,nutritionists weigh in on the best (and worst) foods to eat when you test positive,health,Healthy Life & Wellbeing,-1
25823,everything you need to know about the new round of free covid 19 test kits,health,Medicine & Pandemics,459
25824,a little unsettled by the rolling back of covid 19 safety measures?,health,Medicine & Pandemics,-1
25825,here are the early signs of dementia and when you should consider visiting a doctor:,health,Mental Health & Addictions,70
25826,experts are preparing for the 'next normal' in the covid 19 pandemic here's what that might look like,health,Medicine & Pandemics,52
25827,"no one knows exactly what causes parkinson's disease, but it could be the result of your age, environment, genetics, and other factors",health,Medicine & Pandemics,354
25828,"what is frozen shoulder, and how can you avoid this painful condition?",health,Medicine & Pandemics,-1
25829,"pain is a signal that your arthritis is active, and we do not want to just treat the pain, we want to treat the problem",health,Medicine & Pandemics,80
25830,the variant has been reported in europe and the u s,health,Medicine & Pandemics,257
25831,we asked a dermatologist if this viral tiktok beauty trick is legit,health,Healthy Life & Wellbeing,110
25832,this arm and shoulder workout from will build serious muscle:,health,Healthy Life & Wellbeing,0
25833,here are the early signs of dementia and when you should consider visiting a doctor,health,Mental Health & Addictions,70
25834,"you may know eczema can cause a red, itchy rash",health,Medicine & Pandemics,280
25835,"even though the cdc has said more than 70% of americans no longer need masks, the pandemic is not exactly behind us",health,Medicine & Pandemics,89
25836,"unfortunately, your typical acne treatments will not work for this kind",health,Healthy Life & Wellbeing,369
25837,3 moves you can do on the tool that uses to tone her thighs:,health,Healthy Life & Wellbeing,0
25838,"these tender muffins contain some honey for sweetness, but much less than found in most recipes:",health,Healthy Life & Wellbeing,196
25839,work these boxing and kickboxing moves into your exercise routine to get your heart pumping and muscles burning,health,Healthy Life & Wellbeing,0
25840,here's what antioxidants are and what foods you can eat to boost your intake,health,Healthy Life & Wellbeing,194
25841,check out this amazing belly dance workout with :,health,Healthy Life & Wellbeing,0
25842,returning to normal after a global pandemic is a process these expert tips will help you over the hurdles,health,Mental Health & Addictions,26
25843,"it is no surprise that tofu brings protein to the party, but artichokes are also a good source:",health,Healthy Life & Wellbeing,196
25844,widely available vaccines and decreasing case numbers influenced the change in guidance,health,Medicine & Pandemics,2
25845,the new heart problems showed up even among younger people who had no other risk factors,health,Medicine & Pandemics,99
25846,"if there were such a thing as a single perfect food, eggs would be a top contender",health,Healthy Life & Wellbeing,18
25847,this is 's 5 move bodyweight workout you can do anywhere:,health,Healthy Life & Wellbeing,0
25848,and prices start at just $9,health,Healthy Life & Wellbeing,131
25849,"if your loose skin bothers you, here's what to do next:",health,Healthy Life & Wellbeing,110
25850,with the nation in a stronger place in the battle against covid 19 the agency is relaxing its mask guidance,health,Medicine & Pandemics,89
25851,here are some other symptoms of hand eczema to watch out for,health,Medicine & Pandemics,280
25852,omicron vs delta: how the 2 covid 19 variants compare,health,Medicine & Pandemics,-1
25853,the viral claim will not protect you against covid 19 but it might lead to some other unwanted  issues,health,Medicine & Pandemics,-1
25854,the latest predictive tool can help determine your risk of heart disease and whether or not you would benefit from statins as a preventive measure pharmapartner ad,health,Medicine & Pandemics,99
25855,"these medical grade face masks do not need to be thrown out after each use but you cannot use them indefinitely, either",health,Medicine & Pandemics,89
25856,one of my daughters insisted that i be tested after months of what she called my memory decline,health,Mental Health & Addictions,70
25857,"while protection from a third covid 19 vaccine dose seems to wane after four months, experts are not so sure that a fourth dose will be necessary for all",health,Medicine & Pandemics,2
25858,3 barbell exercises you are probably doing wrong and how to fix them with :,health,Healthy Life & Wellbeing,0
25859,"eczema is a skin condition that causes a red, itchy rash",health,Medicine & Pandemics,280
25860,here's when it is time to see a doctor for the discomfort,health,Medicine & Pandemics,-1
25861,the agency loosened previous regulations that received backlash from chronic pain sufferers,health,Medicine & Pandemics,-1
25862,"cdc advises a booster once you are well, but some doctors suggest waiting a little longer",health,Medicine & Pandemics,2
25863,there are a few factors to consider before ditching your face mask for good,health,Medicine & Pandemics,89
25864,wondering how much protein you need to eat each day in order to be healthy?,health,Healthy Life & Wellbeing,196
25865,stand up comedian dina hashem explains how performing live allows her to embrace her true self watch the full video here:,health,Healthy Life & Wellbeing,0
25866,elinor cleghorn's pain started in her legs when she was in her 20s,health,Medicine & Pandemics,80
25867,your diet plays a key role in keeping your joints pain free,health,Medicine & Pandemics,80
25868,"if you have chronic kidney disease, ckd, some foods may be good to include in your diet",health,Medicine & Pandemics,380
25869,four rapid antigen tests sometimes known as at home covid 19 tests have been recently recalled by the fda,health,Medicine & Pandemics,-1
25870,"this n95 mask is so breathable, i can even wear it at the gym",health,Medicine & Pandemics,89
25871,these are the positions you need to know to form a deep connection,health,Healthy Life & Wellbeing,-1
25872,11 ways to help someone who has anxiety:,health,Mental Health & Addictions,76
25873,this influencer did not start her fitness journey until she was in her 70s,health,Healthy Life & Wellbeing,0
25874,this colorful dinner flips the usual pasta veggie ratio:,health,Healthy Life & Wellbeing,18
25875,"each contains more than 20 grams of protein per serving, and all are free of additives and preservatives",health,Healthy Life & Wellbeing,196
25876,want your smoothest skin ever? try any of these 14,health,Healthy Life & Wellbeing,110
25877,"new research shows covid 19 even the omicron variant is showing up in deer, and it could have very real implications on the pandemic's trajectory",health,Medicine & Pandemics,422
25878,scammers are trying to profit from a scarcity of covid 19 tests these tips will help you make sure you are buying the right ones,health,Medicine & Pandemics,459
25879,this dewy makeup look from namvo is perfect for cool nights:,health,Healthy Life & Wellbeing,110
25880,"americans are entitled to four at home covid tests per household, and three n95 masks per person",health,Medicine & Pandemics,-1
25881,"it is the second to receive fda approval, following the approval of the pfizer vaccine in august 2021",health,Medicine & Pandemics,2
25882,there is no proven psoriasis treatment diet,health,Medicine & Pandemics,519
25883,"when she first noticed a rash all over her body, she thought it was an allergic reaction",health,Medicine & Pandemics,280
25884,high protein foods provide energy and keep you feeling full,health,Healthy Life & Wellbeing,196
25885,"plus, six other types of eczema you should know about",health,Medicine & Pandemics,280
25886,the signs of a heart attack in women are different compared to men pharmapartner ad,health,Medicine & Pandemics,99
25887,the 4 best face masks for omicron that meet the cdc's new guidelines,health,Medicine & Pandemics,89
25888,this is 's 5 minute yoga for beginners:,health,Healthy Life & Wellbeing,113
25889,start by changing up your diet,health,Healthy Life & Wellbeing,60
25890,"7 ways to make exercise easier, so you stick with it and see better results, according to experts",health,Healthy Life & Wellbeing,0
25891,dermatologists have more options than ever for treating plaque psoriasis,health,Medicine & Pandemics,519
25892,"many people who contract covid 19 have mild to moderate symptoms, but some can have more severe complications",health,Medicine & Pandemics,52
25893,"seriously, though, you should keep your hands away from zits in this region",health,Healthy Life & Wellbeing,369
25894,"trauma informed care considers a patient's life experience to offer safe, competent treatment",health,Mental Health & Addictions,144
25895,the symptoms go beyond itchy skin and red patches,health,Medicine & Pandemics,280
25896,"here's what to know if you, or someone you know, is immunocompromised",health,Medicine & Pandemics,2
25897,"with the omicron variant on the rise, there is no better time to invest in an n95 mask",health,Medicine & Pandemics,257
25898,"a diagnosis of ankylosing spondylitis is rare, but if you have spinal pain and stiffness, you may be referred to a rheumatologist for evaluation",health,Medicine & Pandemics,80
25899,"bonus: you will work your abs, too",health,Healthy Life & Wellbeing,0
25900,the condition can often look like run of the mill back pain but it should not be ignored,health,Medicine & Pandemics,80
25901,the location of your breakouts can help identify the type of acne you have,health,Healthy Life & Wellbeing,369
25902,as much as covid sucked it saved me,health,Medicine & Pandemics,114
25903,you might want to pick some of these up if you are traveling soon,health,Medicine & Pandemics,520
25904,"trauma bonding: what it is, why it happens, and signs you might be in a trauma bonding relationship, according to experts",health,Mental Health & Addictions,-1
25905,"an itchy, scaly scalp may be a sign of plaque psoriasis",health,Medicine & Pandemics,519
25906,"when to see your doctor, if your post flu shot shoulder pain does not let up",health,Medicine & Pandemics,-1
25907,tried an class here's what the workout is really like:,health,Healthy Life & Wellbeing,0
25908,one 23 year old shares the reality of having an autoimmune skin condition amid coronavirus pandemic panic,health,Medicine & Pandemics,52
25909,a new cdc analysis of the us's first cases of the omicron variant lists the four most commonly reported symptoms,health,Medicine & Pandemics,257
25910,"the saying you are what you eat, may have some truth to it after all",health,Healthy Life & Wellbeing,60
25911,re create your favorite sandwich with some smart swaps:,health,Healthy Life & Wellbeing,-1
25912,one woman shares her lifelong struggle with eczema including the potentially life threatening viral infection she developed as a young child,health,Medicine & Pandemics,280
