,text,category,tag,topic_id
14542,"russian hackers carried out a cyberattack on ukraine's biggest private energy conglomerate in retaliation for its owner's opposition to russia's war in ukraine, the firm says",politics,International & Foreign Politics,58
14543,"new: one of the people who may have been trying to influence cassidy hutchinson's testimony to the house january 6 committee did so at the behest of former white house chief of staff mark meadows, sources tell cnn",politics,Miscelaneous Politics & Legislation,199
14544,"as the abortion fight returns to states, michigan is on the front line in courtrooms and campaigns",politics,Activism,-1
14545,the force of supreme court's right turn has shaken the country analysis,politics,Activism,69
14546,russian trial of american basketball star brittney griner opens,politics,International & Foreign Politics,316
14547,rep liz cheney defends trump criticism and january 6 committee work in wyoming debate,politics,Economy,132
14548,recent attacks on pro russian officials in southern ukraine indicate signs of a growing resistance movement,politics,International & Foreign Politics,4
14549,"house january 6 committee met with former white house deputy chief of staff tony ornato twice, a source familiar with his testimony says",politics,Miscelaneous Politics & Legislation,117
14550,here's a look at what the supreme court accomplished this term and what its decisions mean for the future,politics,Activism,69
14551,treasury blocks $1 billion in delaware trust tied to russian oligarch,politics,International & Foreign Politics,187
14552,"in a post roe america, 112 million residents face at least a 3 5 hour drive to the nearest abortion clinic, according to a cnn analysis here's who will be most affected and what access looks like in your state",politics,Activism,35
14553,"as republicans across the country move swiftly to restrict abortion access following the supreme court ruling, florida gov ron desantis has so far shown little desire to match their urgency",politics,Activism,35
14554,"the defense department is reviewing 1,300 proposals from 800 companies for innovative new weapons and commercial capabilities they may be able to develop and produce for ukraine, defense official tells cnn",politics,International & Foreign Politics,4
14555,rep judy chu of california is among the more than 100 people arrested at an abortion rights protest in washington,politics,Activism,35
14556,kentucky state court halts enforcement of two laws passed that had stopped abortion services in the state following the supreme court's ruling on abortion rights,politics,Activism,35
14557,here's how the supreme court's decision to allow the biden administration to end the trump era remain in mexico policy could change things at the border,politics,International & Foreign Politics,48
14558,"nato officials say plan to boost high response force to 300,000 is still a work in progress",politics,International & Foreign Politics,319
14559,supreme court sends three abortion related cases back down to lower courts to be reconsidered now that the court has overturned roe v wade,politics,Activism,73
14560,"cassidy hutchinson was one of the witnesses trump world sought to influence, sources say",politics,Miscelaneous Politics & Legislation,199
14561,just in: a florida judge rules the state's new law that bans abortions at 15 weeks is unconstitutional the law was scheduled to go into effect tomorrow,politics,Activism,35
14562,"i am glad for america : retiring justice stephen breyer describes justice ketanji brown jackson as empathetic, thoughtful, and collegial in a new statement",politics,Miscelaneous Politics & Legislation,311
14563,here's a look at newly sworn in justice ketanji brown jackson's personal and legal record,politics,Miscelaneous Politics & Legislation,37
14564,"ketanji brown jackson is sworn in as an associate justice to the united states supreme court, making history as the first black woman on the highest court in the nation",politics,Miscelaneous Politics & Legislation,37
14565,ketanji brown jackson will be sworn in as the first black woman on the supreme court follow live updates,politics,Miscelaneous Politics & Legislation,37
14566,just in: the supreme court says president biden can end the trump era remain in mexico immigration policy,politics,International & Foreign Politics,48
14567,new: president biden says he would support changing senate filibuster rules to codify abortion rights,politics,Activism,525
14568,president biden says russia is paying a very heavy price for ukraine war and pledges the us will support ukraine as long as it takes,politics,International & Foreign Politics,4
14569,democratic sen patrick leahy needs surgery to repair a broken hip after falling in his virginia home on wednesday,politics,Miscelaneous Politics & Legislation,80
14570,the new fight over abortion jolts democrats' battle to take on republican sen ron johnson in wisconsin,politics,Activism,-1
14571,rep liz cheney says the us is confronting a domestic threat in former president donald trump,politics,Economy,132
14572,delaware gov john carney signs legislation expanding access to abortion care and protecting providers and patients seeking services in the state,politics,Activism,35
14573,hhs releases new guidance aimed at patient privacy in the wake of last week's supreme court ruling that overturned roe v wade,politics,Activism,73
14574,"spring primary season opens up new questions about the future of the democratic and republican parties, while setting up many high stakes races in november analysis",politics,Miscelaneous Politics & Legislation,129
14575,former trump campaign cfo sean dollman testifies to house january 6 committee,politics,Miscelaneous Politics & Legislation,-1
14576,first on cnn: cassidy hutchinson releases statement standing by her blockbuster testimony before the house january 6 committee amid pushback,politics,Miscelaneous Politics & Legislation,199
14577,ketanji brown jackson joins a supreme court in turmoil,politics,Miscelaneous Politics & Legislation,37
14578,"just in: lev parnas, a former associate of rudy giuliani, has been sentenced to 20 months in prison",politics,International & Foreign Politics,219
14579,"just in: justice stephen breyer says he will retire tomorrow, setting the stage for ketanji brown jackson to take over as the next member of the supreme court",politics,Miscelaneous Politics & Legislation,311
14580,multiple polls conducted since the supreme court's ruling overturning roe v wade find that broad majorities of the public disapprove of the decision,politics,Activism,73
14581,"right wing attorney john eastman drops his challenge to the house january 6 committee's pursuit of his call log data, according to a new federal court filing",politics,Miscelaneous Politics & Legislation,475
14582,"five takeaways from tuesday's elections in colorado, illinois and more",politics,Miscelaneous Politics & Legislation,129
14583,nato formally invites finland and sweden to become members of the military alliance,politics,International & Foreign Politics,319
14584,"the supreme court's decision to overturn roe v wade will have significant implications for the defense department, the pentagon says, but service members will continue to have access to health care for covered abortions",politics,Activism,73
14585,"us unveils a slew of actions against russia, including sanctions and a ban on new imports of russian gold",politics,International & Foreign Politics,187
14586,how the supreme court ruling could affect insurance coverage for abortions,politics,Activism,73
14587,president biden and nato leaders prepare to beef up alliance forces and set the stage for finland and sweden to join their ranks,politics,International & Foreign Politics,319
14588,cnn projection: kathy salvi will win the republican nomination for illinois senate she will face incumbent democrat tammy duckworth in november,politics,Miscelaneous Politics & Legislation,71
14589,cnn projection: republican mike flood will win the special election for nebraska's 1st district,politics,Miscelaneous Politics & Legislation,71
14590,cnn projection: markwayne mullin and t w shannon will advance to runoff in oklahoma gop senate special election,politics,Miscelaneous Politics & Legislation,71
14591,cnn projection: lee zeldin will win the republican nomination for new york governor he will face democratic gov kathy hochul in november,politics,Miscelaneous Politics & Legislation,71
14592,"cnn projection: rep mary miller, who was backed by trump, wins gop primary in illinois' new 15th congressional district, defeating rep rodney davis",politics,Miscelaneous Politics & Legislation,71
14593,cnn projection: joe o'dea will win the republican nomination for colorado senate he will face incumbent democrat michael bennet in november,politics,Miscelaneous Politics & Legislation,71
14594,"cnn projection: pam anderson will win the republican nomination for colorado secretary of state, defeating election denier tina peters, who was indicted in an election security breach probe she will face incumbent democrat jena griswold in november",politics,Miscelaneous Politics & Legislation,71
14595,cnn projection: incumbent rep lauren boebert will win the gop primary for her seat in colorado's 3rd congressional district,politics,Miscelaneous Politics & Legislation,71
14596,"cnn projection: rep sean casten wins democratic primary in illinois' new 6th congressional district, besting rep marie newman in incumbent vs incumbent race",politics,Miscelaneous Politics & Legislation,71
14597,cnn projection: incumbent kathy hochul will win the democratic nomination for new york governor hochul is the state's first female governor and took office after andrew cuomo's resignation,politics,Economy,342
14598,"cnn projection: darren bailey, who was endorsed by trump, wins gop nomination for illinois governor and will face democratic gov j b pritzker in november",politics,Miscelaneous Politics & Legislation,71
14599,cnn projection: joy hofmeister will win the democratic nomination for oklahoma governor she will face incumbent republican kevin stitt in november,politics,Miscelaneous Politics & Legislation,71
14600,"cnn projection: incumbent jared polis will win the democratic nomination for colorado governor last year, polis became the first out lgbtq governor in the us to get married while in the governor's office",politics,Miscelaneous Politics & Legislation,71
14601,cnn projection: incumbent james lankford will win the republican nomination for oklahoma senate,politics,Miscelaneous Politics & Legislation,71
14602,cnn projection: incumbent kevin stitt will win the republican nomination for oklahoma governor,politics,Miscelaneous Politics & Legislation,71
14603,"polls are closing across illinois, mississippi and oklahoma here are the key races we are tracking in each state",politics,Miscelaneous Politics & Legislation,129
14604,"colorado gov jared polis and sen michael bennet, both democrats, are both up for reelection and there are competitive republican primaries to take on each there will also be attention on the republican primary for secretary of state",politics,Miscelaneous Politics & Legislation,71
14605,"here's what to watch for in primaries in colorado, illinois and other states",politics,Miscelaneous Politics & Legislation,129
14606,"five states illinois, oklahoma, colorado, new york and utah are holding primary elections on tuesday there will also be runoff races in south carolina and mississippi as well as a special election to fill a vacant seat in nebraska",politics,Miscelaneous Politics & Legislation,129
14607,"tina peters, the mesa county clerk and colorado's most prominent voter fraud conspiracy theorist, is vying for the republican nomination for secretary of state",politics,Miscelaneous Politics & Legislation,71
14608,"here's how to follow tuesday's primary election results in illinois, colorado, new york, oklahoma and utah",politics,Miscelaneous Politics & Legislation,129
14609,"the pro russian captors of two americans captured during a battle near kharkiv, ukraine, earlier this month are reportedly willing to negotiate, one captive's mother tells cnn",politics,International & Foreign Politics,4
14610,"white house press secretary karine jean pierre says using federal lands for abortion services would have dangerous ramifications, rejecting calls from several democratic lawmakers",politics,Activism,35
14611,"the contrast between the theoretical legal bubble of the supreme court chamber and the confused, divided nation rocked by the destabilizing decisions of its conservative majority has never been more stark analysis",politics,Activism,69
14612,the supreme court's conservative justices have forever changed the calculations a judge will consider when contemplating whether to overturn precedent analysis,politics,Activism,73
14613,these are the key lines from cassidy hutchinson's testimony at tuesday's house january 6 committee hearing,politics,Miscelaneous Politics & Legislation,199
14614,here are the takeaways from tuesday's shocking house january 6 committee hearing,politics,Miscelaneous Politics & Legislation,-1
14615,cassidy hutchinson's bombshell testimony leaves aides to former president donald trump speechless,politics,Miscelaneous Politics & Legislation,199
14616,"just in: texas court issues a temporary restraining order against certain local and state officials, barring them from enforcing a nearly century old abortion ban in the state",politics,Activism,-1
14617,"donald trump wanted to go to the capitol on january 6 and lunged at secret service who were preventing the former president from going, ex aide says she was told",politics,Miscelaneous Politics & Legislation,143
14618,"former president donald trump knew the crowd was armed when he told them to march to the us capitol but said he did not f ing care that they have weapons, cassidy hutchinson says",politics,Miscelaneous Politics & Legislation,199
14619,"former white house chief of staff mark meadows told his aide cassidy hutchinson on january 2, 2021, that things might get real, real bad on january 6, she testifies",politics,Miscelaneous Politics & Legislation,199
14620,"former president donald trump is bracing for an explosive day of testimony from cassidy hutchinson, a former aide to ex chief of staff mark meadows",politics,Miscelaneous Politics & Legislation,199
14621,the house january 6th committee's unexpected sixth hearing is underway and will include public testimony from former aide to mark meadows follow along here for live updates,politics,Miscelaneous Politics & Legislation,-1
14622,president joe biden arrives in spain for a nato summit expected to significantly bolster the alliance's defense posture along its eastern edge,politics,International & Foreign Politics,319
14623,here's where abortion trigger laws stand in a number of states,politics,Activism,35
14624,the house january 6 committee unexpectedly added a hearing for today here's what was behind the decision,politics,Miscelaneous Politics & Legislation,117
14625,white house officials are losing confidence that ukraine will ever be able to take back all of the land it has lost to russia over the past four months of war,politics,International & Foreign Politics,4
14626,on the california ballot this november will be an amendment to add women's reproductive rights to the state's constitution,politics,Activism,35
14627,abortion rights proponents have filed court actions in at least seven states seeking to block or slow the enforcement of abortion bans,politics,Activism,35
14628,"just in: cassidy hutchinson, an aide to former white house chief of staff mark meadows, is expected to testify publicly tuesday at the house january 6 committee hearing, sources tell cnn",politics,Miscelaneous Politics & Legislation,199
14629,"president biden's pick to helm us immigration and customs enforcement, ed gonzalez, withdraws from consideration",politics,International & Foreign Politics,48
14630,progressive candidate kina collins faces opposition from national party leadership as she once again attempts to unseat longtime chicago us rep danny davis,politics,Miscelaneous Politics & Legislation,71
14631,the supreme court's abortion ruling puts a spotlight on its ideological distance from the american people analysis,politics,Activism,-1
14632,"national right to life, the largest and oldest anti abortion group in the us, focuses on restricting medication abortion in wake of roe v wade ruling",politics,Activism,-1
14633,"the fbi seized the phone of conservative trump attorney john eastman last week, he says in a new court filing",politics,Miscelaneous Politics & Legislation,475
