,text,category,tag,topic_id
4331,tottenham are considering a move for jesse lingard following his departure from mufc,sports,Football,529
4332,"antonio conte is cooking! tottenham have already made four signings this transfer window, with potential deals still to come after talks with djed spence and clement lenglet",sports,Football,164
4333,what is the hold up with frenkie de jong's move to man utd? alvaro montero gives the latest updates here,sports,Football,30
4334,"when you have someone as special as salah, you certainly have to bend them (the rules) jamie carragher gives his reaction to mo salah's contract extension here",sports,Football,322
4335,he's a liverpool legend and hopefully he can enhance that reputation over the next 3 years! jamie carragher believes mo salah can go on to become one of liverpool's best ever players,sports,Football,322
4336,it's vitally important that in the premier league we keep this calibre of player former liverpool defender stephen warnock believes mo salah's new deal is great for the premier league as well as liverpool,sports,Football,322
4337,mo salah is ready to go again after signing his new long term liverpool contract,sports,Football,322
4338,i feel great and i am excited to win trophies with the club it is a happy day for everyone more on mohamed salah's new contract at liverpool here,sports,Football,322
4339,breaking mohamed salah has signed a new deal at liverpool until 2025,sports,Football,322
4340,raphinha wants to join fc barcelona spanish football expert alvaro montero gives the latest updates on barcelona's late attempt to hijack raphinha's move to chelsea,sports,Football,45
4341,"do i think they will win the league? no, but they will definitely be a runner where will tottenham finish next season?",sports,Football,130
4342,"everton will rival west ham for the transfer of jesse lingard, according to reports lingard is a now a free agent after his manchester united contract expired on june 30",sports,Football,529
4343,the 1st of july means that erling haaland is now officially a manchester city player we spoke to those who have witnessed his meteoric rise to the top,sports,Football,190
4344,"tottenham have signed richarlison from everton in a 60m deal the brazilian forward becomes spurs' fourth summer signing after the arrivals of ivan perisic, fraser forster and yves bissouma",sports,Football,45
4345,west ham are still waiting on a decision from jesse lingard with the club hopeful he will sign should jesse lingard return to west ham?,sports,Football,529
4346,spurs training should be tasty! richarlison  romero came toe to toe last season,sports,Football,421
4347,gabriel jesus can turn into a very good central striker now he is joined arsenal alan smith believes gabriel jesus will flourish with arsenal next season,sports,Football,234
4348,"if you were raphinha, which club would you choose?",sports,Football,-1
4349,atletico madrid have made an offer to sign tottenham defender emerson royal on a season long loan,sports,Football,45
