,id,text,category
0,1539397724231159808,"Question: Do you expect TA/charts from the CT accounts you follow in order to gain value from them?

#bitcoin #btc #crypto",cryptocurrencies
1,1539397366591426562,"i will win this ! 
#NFT #Crypto #NFTCommunity #NFTProject #NFTART #BTC #ETH #SOL #LUNA #BNB #BSC #XRP",cryptocurrencies
2,1539397120712753152,"Which $REU chain do you own? ♻️

#Crypto #cryptocurrency #ETH #BSC #BSCGem #btc",cryptocurrencies
3,1539396537305837569,Current #Bitcoin Price is $20725 #BTC #Crypto,cryptocurrencies
4,1539396508465995777,"Current Bitcoin Price:
USD $20,721.48
GBP £16,824.16
Euro €19,697.22
#bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency",cryptocurrencies
5,1539396445761339392,"Trending coins right now:
7) $SOL - Solana (#9)

Trending coins by popularity:
1) $CEL (#88)
2) $USDD (#68)
3) $LUNA (#132)
4) $UNI (#30)
5) $GMX (#202)
6) $SCLP (#842)
7) $SOL (#9)

 #btc #crypto #cryptocurrency #altcoins",cryptocurrencies
6,1539396409857810432,"ok, but seriously… can the devs do something or….? 

#downbad #crypto #btc #eth #ada",cryptocurrencies
7,1539396040268337156,"Top 5 #crypto prices with 24h change:

#BTC #ETH #BNB #ADA #XRP 

🟢 $BTC $20728.28 (0.34%)
🔴 $ETH $1125.44 (-0.91%)
🟢 $BNB $219.9 (1.10%)
🔴 $ADA $0.4798 (-3.03%)
🟢 $XRP $0.3292 (1.61%)

Do you #hodl any of these coins?",cryptocurrencies
8,1539395593256128512,"Im down in #Crypto but up in life.

There’s opportunities for whatever you need, but are you willing to look for them ?

#SoberAF #Btc #Eth #LFG #BAFM",cryptocurrencies
9,1539395558917677056,Project is very good . I am sure this project later when launching will be a lot of its enthusiasts because this project has a solid team structure and trusted. #dlord #digitallandlord  #crypto #blockchain #cryptocurrency #blockchaintechnology #stablecoin,cryptocurrencies
10,id,text,category
11,1539395277206876160,Current #Bitcoin Price is $20679 #BTC #Crypto,cryptocurrencies
12,1539395253089755136,"Current Bitcoin Price:
USD $20,719.03
GBP £16,822.18
Euro €19,694.89
#bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency",cryptocurrencies
