,id,text,category
0,1539392479706873856,"EV Charging Stations in Fox River Grove, IL https://t.co/nWMI6RShNI #Illinois #ElectricVehicles #gogreen #Environment",environment
1,1539390831836205056,Are you green? Are you concerned about the #environment and #globalwarming? This is a must listen pod! #renewableenergy https://t.co/ifeHn1MpFM,environment
2,1539382676305870848,"As an artist, I normally focus on mindfulness and mental health because doing so helps me process my feelings. 
I am also extremely aware of #GlobalWarming and the impact it might have on future generations. 
#environment #ClimateCrisis #ClimateAction #ClimateEmergency https://t.co/3123ZT54RP",environment
3,1539372912993570816,We've reached 30 confirmed attendees for our industry stakeholders day next week (30 June) to help develop courses in #Environment #Sustainability and #Wildlife. Would anyone like to join us? Even online if you're really far away! https://t.co/ulOSPsNbbo,environment
4,1539361659562741762,"Traditional coffee beans may be extinct by 2050
https://t.co/cbhasYI4Gr

#coffee #coffeetime #CoffeeLover #sustainability #future #FutureFoodTech #environment #wellness #health #life #lifestyle",environment
5,1539360922115837954,"This emphasizes the need to conserve and protect wildlife on our one planet. 

#conservation #environment #climatechange 

World’s heaviest freshwater fish, a 661-pound stingray, caught in #Cambodia 
https://t.co/bmoGguoeG9",environment
6,1539349794094731274,A Finnish #biotech company produces #egg white protein w/o #chicken. It uses microbial #fermentation and expresses recombinant ovalbumin protein with a fungus to get more #protein to the market &amp; realise #environment benefits: https://t.co/Mp7jQS6wc3 | #climatechange #foodsafety,environment
7,id,text,category
8,1539347344830869504,"I believe this is a red eared slider laying eggs in the soil.
#turtle #reptiles #animal #biodiversity #conservation #ecology #ecosystem #endangered #environment #habitat #lovewildlife #mammals #nature #news #research #savetheplanet #sustainability #wildli…https://t.co/h9KJsYaBnZ",environment
9,1539345542471352321,Agriculture emissions pose risks to health and climate #environment #climate #ClimateChange #health #agriculture #emissions https://t.co/s3S3FyXv9M,environment
10,1539343397491642370,"#childrensbook #amazon #environment #ecokids
Now that you can easily borrow #ecofriendly #childrensbooks and help them to plan for a #future that is bright. Will you be making a start?

https://t.co/HVSYsFePLH
https://t.co/I04sGigWB7
https://t.co/fr8414tgkK",environment
11,1539339063336914944,https://t.co/Rf6hwpIS5C Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
12,1539338115814264832,"Climate change is causing an increase in desertificaton
 https://t.co/N9TYNKimyb 

#climatechange #environment #tuesday",environment
13,1539334085063200774,"Lunchtime walk (quick lunchtime walk, not at lunchtime) #busy #work #walk #walkingartists #field #green #environment #nature #wellbeing #wellbeingwalk#mindfullness #wildflowers  #wildlife https://t.co/gpQlTI8h4j",environment
14,1539329809310003202,"🎙️ Factual America #99
𝐃𝐞𝐞𝐩 𝐢𝐧 𝐭𝐡𝐞 𝐇𝐞𝐚𝐫𝐭
𝑤𝑖𝑡ℎ 𝑔𝑢𝑒𝑠𝑡𝑠 Ben Masters (dir.) and Katie Baldock (prod.)

Texas: a land of mystery and legend...
https://t.co/9RZCP2CRf5

#DeepInTheHeart #Texas #MatthewMcConaughey #wildlife #nature #environment #LoneStarState",environment
15,1539328426385063937,"#nature has a límit https://t.co/L3w2uPfdEX #ClimateCatastrophe #environment 
#ClimateCrisis: Amazon rainforest tipping point is looming, data shows https://t.co/0qLN5Kgjom",environment
16,1539327773524860931,"#CleanNFT #environment #fish #wildlife #selfportrait This is my newest art nft, of a dead fish I found on a lakeshore and began drawing and painting it. Celebrating its life, lamenting it’s death, seeing its beauty even in decay. https://t.co/ROWZnldp8V",environment
