,id,text,category
0,1539397685429534722,"Now playing Rashawn - Running Away on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
1,1539396709259829248,"Now Playing, May Erlewine — He Knows from Tiny Beautiful Things #music #Folk",music
2,1539396288806002696,"Now playing Venus On Earth - Space on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
3,1539395464415612928,"Now Playing, Laurel Premo — Hop High from Golden Loam #music #",music
4,1539394689438298112,"Now playing Rissa Reign  - Get Money  on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
5,1539393818725863425,"Now playing Chocolate Drop - Ready 4 War on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
6,1539393503712759810,"Now Playing, Greg Brown — Eugene from The Evening Call #music #Folk",music
7,1539392857114611712,"Now playing Sir Prize - Go Get It on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
8,1539392626000113664,"Now Playing, Pieta Brown — #807 from In The Cool #music #Folk",music
9,1539391938499170304,"Now Playing, Justin Townes Earle — Can't Hardly Wait from Midnight at the Movies #music #",music
10,id,text,category
11,1539391422511689728,"Now playing Cereon - Wine Me on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
12,1539391183205670914,"Now Playing, Steve Earle — The Galway Girl from Transcendental Blues #music #",music
13,1539390045970386944,"Now playing DARREN EUGENE - CODE on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
14,1539389435800096768,"Now Playing, Billy Strings &amp; Don Julin — Shady Grove (Traditional) from Fiddle Tune X #music #Folk",music
15,1539388442789945355,"Now playing TwinOnit - Why You Calling My phone on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
16,1539388374779305985,"Now Playing, Taj Mahal , Ry Cooder — I Shall Not Be Moved from Get On Board #music #",music
17,1539387578696220673,"Now playing Morgan Gayla - Motions on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
18,1539387348164784129,"Now Playing, Michigan Rattlers — Evergreen from Evergreen #music #",music
19,1539386581768863746,"Now playing With You - Ydmbsm ft Courtney J on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
20,1539386310808543238,"Now Playing, Phish — Bouncing Around the Room from 2009/03/06 II Hampton, VA #music #Jam Bands",music
21,1539385287457005574,"Now playing KA$H KYLA - POPPIN on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
22,1539384437347078145,"Now Playing, Bela Fleck &amp; The Flecktones — Big Country from Left of Cool #music #Jazz",music
23,1539383110248321024,"Now playing BillionaireRob - Love Song on CMVA 107.5 FM
#CVMA1075FM #DIVERSE #MUSIC",music
24,1539382919587934208,#spotify is down. It's Time for playing CDs on my PC. For some reason I feel that quality is better than streaming. Placebo effect? Or I'm entering to audiophile new dimension? xD,music
25,1539382830609965057,"Now Playing, Bela Fleck — Our Little Secret from My Bluegrass Heart #music #",music
26,1539381414763847680,"Now Playing, Dave Specter — Sanctifunkious from Six String Soul: 30 Years On Delmark #music #Blues",music
