,id,text,category
0,1535049073417388044,"What's #Best on https://t.co/ZQiMKSXeJS ?
🔙📺 Retro 21/22 - Top Matches Of The Season In Ligue 1 ⚽
https://t.co/y9t7ch3EPU
#sports #parissaintgermain #psg #paris #football #psg #paris #saintgermain #neymar #jr #neymar #mbappe",sports
1,1535049061157376000,@SharksNSports Most overpaid player in sports,sports
2,1535049059089645568,New from Houston Chronicle — Texas to face frenzied atmosphere at East Carolina https://t.co/C8zVmDbjq1,sports
3,1535049055339962368,"New from Houston Chronicle — Friendswood holds off Mansfield Legacy, advances to state title game https://t.co/qBxOQOyb2z",sports
4,1535049039766380544,"There we go. Oh I wanted to point this out, though. Anyone voted No, is a MEAN ROBBER &amp; SPORTS HATERS for ruining the first time of the baseball game. There's a fireworks show to start with at the end of the game, btw.",sports
5,1535049034758488070,"Deion Sanders on Jackson State, recruit Travis Hunter, Nick Saban feud - Sports Illustrated ⁦@espn⁩ ⁦@SFY⁩ ⁦@HBCUGameday⁩ ⁦@YourBlackWorld⁩  https://t.co/e6t0vDZsm1",sports
6,1535049021491929088,Major league perk for ‘old school’ Twins pitcher Devin Smeltzer: stirrup socks https://t.co/Lpl7OJP1DI,sports
7,1535049019596103680,"The latest news from the NFL on Thursday, June 9th is summarized in this roundup. https://t.co/M9C07mU0YJ",sports
8,1535048845331050496,@Jim_Jordan When’s the hearing on failure to report abuse of sports team members by those who SAW and did NOTHING??????? #DirtyPOS,sports
9,1535048813890740224,"UnCLE ⁦@BeauBishop⁩ I completely forgot about this. Week after Michigan played us in 98, they played Hawaii. If B1G got rid of divisions, when OSU fan starts to cry point to this. Maybe it’s time to start playing The Game in September? https://t.co/Ldgo0m3wxQ",sports
10,1535048797906141196,2022 US Open: How to play The Country Club in Brookline https://t.co/aoT792nGp1 via @BostonGlobe,sports
11,1535048787118346240,@theshift_sports Nembhard could help the team win next year. Houstan is more of a development piece.,sports
12,1535048781376389122,Performax Hockey League: Rink Rats (6) at ASAP MOB (8) - FINAL https://t.co/DupDeCrYO7,sports
13,1535048748308496405,"2022 Situation Mike McCarthy must lead the Dallas Cowboys to the playoffs, or they will be eliminated… https://t.co/5py6qi08zI",sports
14,1535048726321954816,#NYR pregame read 👇 https://t.co/AU1NElDQix,sports
15,1535048722249285650,"@JayLewisEdwards @BrotherJulius83 @jaysonbuford No, I'm representing the black delegation here - HE GOT GAME and HOOP DREAMS as the sports double feature - I thought this case was already dismissed??",sports
16,1535048707988652038,"And it's finally here!
""Sports and Aging - A Prescription for Longevity"", also available in Google Books.
Thanks to Professor Gerald Gems whom I met by chance in 2019 at the 'Football par et pour les Femmes' conference in France.
A great opportunity to sh…https://t.co/NS7e115oYm",sports
17,1535048691022692359,"@_bluerag13 Out tonight... make sure to download the mobile app and turn on player news alerts! (all free)

https://t.co/7R4va0aqSF

https://t.co/tJfCSIvfrw",sports
18,1535048678603313152,Ready!!!! @ShaneStout_IP @big_fire_show @Marucci_EC @Prospects_IN @NE_Ok_HS_Sports @AustinStout18 @tedtomjr @UCF_Baseball @OklahomaRecruit @OklaPrepSports https://t.co/UgfPw0hENc,sports
19,1535048660005814291,"Jones named Globe's volleyball player of year: https://t.co/xRdZbwTSXD

@CJHSAthletics @cjvball",sports
20,1535048659162632192,I just want to watch the braves game but the Bally sports app keeps crashing. It’s legitimately the worst app I’ve ever used,sports
21,1535048607996551168,Northview baseball prepared for first state semifinal appearance https://t.co/X3qiMXfciq via @toledonews,sports
22,1535048580750245898,"TRUE STORY: in an attempt to snap a 13-game losing streak, the entire LA Angels baseball team used Nickelback songs as their walk-up music! https://t.co/BmwmGZXDYC",sports
