,id,text,category
0,1539397336111120384,"Elon Musk says he continues to assist and purchase Dogecoin, regardless of the $258 billion lawsuit
#Mobile #TechNews #Technology
https://t.co/UIR65vPGoh",technology
1,1539396736090783744,What Exactly Was Google's 'AI Is Sentient' Guy Actually Saying? https://t.co/vLkTEt1ahz #AI #ArtificialIntelligence #Google #News #Tech #Technology,technology
2,1539396380464119808,"#Biden signs #cyber bills into law

#CyberSecurity #infosec #CyberSecurityNews #TechNews #tech #technology 
https://t.co/Q3WDxaqreB",technology
3,1539395260077441029,"'We owe it to our players'
https://t.co/LyLiRhd7n5
#TECH #Technology #technews #programming #software #HATINC",technology
4,1539395258873790467,"'We owe it to our players'
https://t.co/SBZdDMIhjF
#TECH #Technology #technews #programming #software",technology
5,1539394555690242051,"""The pessimistic view is that the gerrymandering software will enable legislators to gerrymander with more precision than ever before, to ensure maximum advantages. #ai #technology #BigData #ML"" https://t.co/7kLrW53tis",technology
6,1539394554205548544,CEO and COO of Pornhub parent company Mindgeek abruptly resign https://t.co/iqHLNewmId by techcrunch #Technology #TechNews TechCrunch,technology
7,1539394554184491010,Uniswap acquires NFT marketplace aggregator Genie https://t.co/nINE5nJZ1h by lucasmtny #Technology #TechNews TechCrunch,technology
8,1539394553886777345,3 tips for biotech startups seeking non-dilutive capital to survive the downturn https://t.co/S0rhH3hPiP by decisivepointvc #Technology #TechNews TechCrunch,technology
9,1539394553849028608,It's time to talk about consolidation in the EV charging industry https://t.co/i3NwD16z6S by rebeccabellan #Technology #TechNews TechCrunch,technology
10,id,text,category
11,1539394553844736003,"Accel is rolling out a new, $4 billion late-stage fund, just as certain rivals lose momentum https://t.co/m3KC74iAT1 by cookie #Technology #TechNews TechCrunch",technology
12,1539394161807396864,"Accel is rolling out a new, $4 billion late-stage fund, just as certain rivals lose momentum: https://t.co/bCruDPYEXn by TechCrunch #infosec #software #technology",technology
13,1539393998032347137,"Microsoft on Tuesday said it would stop selling technology that guesses someone's emotion based on a facial image and would no longer provide unfettered access to facial recognition technology.
https://t.co/PiUpbQ0PHT
#TECH #Technology #technews #programming #software #HATINC",technology
14,1539393996723785729,"Microsoft on Tuesday said it would stop selling technology that guesses someone's emotion based on a facial image and would no longer provide unfettered access to facial recognition technology.
https://t.co/tPnbeT8E86
#TECH #Technology #technews #programming #software",technology
15,1539393995658383360,"Desktop Development
  #software #technology #programming #tech #coding #developer #business #softwaredeveloper
https://t.co/E6cBhzDzut",technology
16,1539393994240757761,"Desktop Development
  #software #technology #programming #tech #coding #developer #business #softwaredeveloper
https://t.co/DDZkef3SSO",technology
17,1539393710621851649,"Optus loses its head of analytics
#Gadgets #TechNews #Technology
https://t.co/YVs7g8GlF2",technology
18,1539392739887939585,"Tech Tok: Meta to make VR headsets
https://t.co/H142hCSmur
#TECH #Technology #technews #programming #software #HATINC",technology
19,1539392738633850880,"Tech Tok: Meta to make VR headsets
https://t.co/FRAHc9X31i
#TECH #Technology #technews #programming #software",technology
20,1539392718090211328,"I hope to be just like (or even better) than Elon Musk when I grow up (I'm 14) He inspired me to design stuff of my own, and I promise you will see my Technology and I hope to change the world some day. #technology #Tesla #SpaceX #inspiration #Earth to #Space 😁",technology
21,1539392661135687680,The latest #STEM Today! https://t.co/gmTICkVVhD Thanks to @jimmyroybloom #technology #ai,technology
22,1539391387963166727,The Newest Technology Hits! https://t.co/b9WTMdBU0u #ai #technology,technology
23,1539390682791661568,"Tesla Model S catches fire three weeks after going to a junkyard 

#technology #tech #technews #teknocks
via /r/technology https://t.co/lJjjYPkAiM",technology
24,1539390671307563010,"Gravity—Yes, Gravity—Is the Next Frontier for Batteries 

#technology #tech #technews #teknocks
via /r/technology https://t.co/kXvzVjchb2",technology
25,1539390294940172289,Linux Foundation Announces Open Programmable Infrastructure Project to Drive Open Standards for New Class of Cloud Native Infrastructure: https://t.co/vW3vpqPkiK by Dark Reading #infosec #software #technology,technology
26,1539390290628423681,3 tips for biotech startups seeking non-dilutive capital to survive the downturn: https://t.co/tpuaq5DsXy by TechCrunch #infosec #software #technology,technology
27,1539390283581902851,"Good reads Blog Articles Tue, 21 Jun 2022 23:30:18 GMT 🧵

👇
#technology #programming #articles #programmer",technology
28,1539390229597114368,"Check out this post by RoofContr: Software review sites including Capterra, GetApp, and Software Advice recognized @acculynx as one of the top roofing software solutions for contractors. #roofing #technology #software 
https://t.co/jU2q03ZoZW",technology
29,1539390225138724865,Invest in angry boi https://t.co/iNLbKGpVhW  #techblog #technews #tech #technology #techworld #techblogger #techlover #gadgets #techie #instatech #techgeek #techupdates #technologynews #techy #techgadgets #smartphone #instatechnology,technology
30,1539387866878562307,It’s time to talk about consolidation in the EV charging industry: https://t.co/q3saG0rtGT by TechCrunch #infosec #software #technology,technology
31,1539387864542330882,CEO and COO of Pornhub parent company Mindgeek abruptly resign: https://t.co/2fARv1TeJH by TechCrunch #infosec #software #technology,technology
